user,movie,pred_rate
 1,7460,4.446080749
 1,2843,4.442380394
 1,7099,4.441589787
 1,34437,4.441573552
 1,170705,4.441222236
 1,44555,4.440746943
 1,27266,4.440283288
 1,31410,4.440004258
 1,3462,4.439053929
 1,714,4.439053069
 1,6016,4.438817978
 1,1281,4.437927682
 1,6440,4.437820376
 1,7327,4.437564395
 1,6350,4.436671104
 1,7115,4.436524493
 1,8033,4.436466364
 1,1619,4.43620962
 1,7396,4.436018917
 1,3307,4.435942872
 1,7323,4.4358599
 1,5690,4.435656291
 1,52952,4.435454262
 1,9010,4.435261596
 1,665,4.434988297
 1,55247,4.4346074
 1,8014,4.434450058
 1,2360,4.434040664
 1,2931,4.433971976
 1,5617,4.433763726
 1,26776,4.433741914
 1,27741,4.433362965
 1,4848,4.433318983
 1,1260,4.433289634
 1,6433,4.433259393
 1,7156,4.43319806
 1,3089,4.433080696
 1,60766,4.432921774
 1,6301,4.431991085
 1,3949,4.431827725
 1,1809,4.43172259
 1,55442,4.43161428
 1,55280,4.431021455
 1,4973,4.431013329
 1,1273,4.430957663
 1,6870,4.430913261
 1,3246,4.430448403
 1,6214,4.430342167
 1,7371,4.430100059
 1,2351,4.430090499
 2,8778,4.028699888
 2,3987,4.028320235
 2,4155,4.028246145
 2,74,4.028011834
 2,5527,4.027775506
 2,4795,4.027774611
 2,1018,4.027206562
 2,8008,4.026677544
 2,3061,4.026297622
 2,1006,4.026124466
 2,7614,4.026105428
 2,49524,4.02606884
 2,36276,4.026056657
 2,2227,4.025220352
 2,50160,4.025132773
 2,4187,4.025040329
 2,1353,4.024992905
 2,26965,4.024886352
 2,43460,4.024879333
 2,6579,4.02481829
 2,2996,4.024808281
 2,7050,4.024754714
 2,1937,4.02471352
 2,8492,4.024496938
 2,2927,4.024312691
 2,7297,4.024283923
 2,116,4.024243904
 2,934,4.02421305
 2,5415,4.024198654
 2,7618,4.024148399
 2,3211,4.024145803
 2,5873,4.024072223
 2,4476,4.024037194
 2,6584,4.023929518
 2,7888,4.023890186
 2,4801,4.023819993
 2,668,4.023808039
 2,42018,4.023737288
 2,8521,4.023557641
 2,7883,4.023557641
 2,8482,4.023557641
 2,6732,4.023500536
 2,3093,4.023372279
 2,2205,4.023365144
 2,2847,4.023295855
 2,8121,4.023285492
 2,4976,4.023174609
 2,1936,4.02313948
 2,3971,4.02303713
 2,1545,4.023034673
 3,113345,3.508888769
 3,91660,3.508301009
 3,79868,3.507644249
 3,160341,3.507644249
 3,102802,3.507644249
 3,93598,3.507644249
 3,80162,3.507644249
 3,97988,3.507644249
 3,71910,3.507644249
 3,58826,3.507644249
 3,27426,3.507644249
 3,26391,3.507644249
 3,7562,3.507644249
 3,100810,3.506218883
 3,112727,3.505441223
 3,93193,3.505441223
 3,97701,3.505441223
 3,102070,3.505441223
 3,103085,3.505441223
 3,105801,3.505441223
 3,107436,3.505441223
 3,147662,3.505441223
 3,113780,3.505441223
 3,114707,3.505441223
 3,130050,3.505441223
 3,139511,3.505441223
 3,139655,3.505441223
 3,142366,3.505441223
 3,82641,3.505441223
 3,160836,3.505441223
 3,88327,3.505441223
 3,61692,3.505441223
 3,75389,3.505441223
 3,73741,3.505441223
 3,3945,3.505441223
 3,4497,3.505441223
 3,6009,3.505441223
 3,7202,3.505441223
 3,26498,3.505441223
 3,27491,3.505441223
 3,27746,3.505441223
 3,27778,3.505441223
 3,47937,3.505441223
 3,48150,3.505441223
 3,56620,3.505441223
 3,63768,3.505441223
 3,71341,3.505441223
 3,73676,3.505441223
 3,122884,3.505014987
 3,107997,3.504426861
 4,6301,3.654830262
 4,6774,3.653263526
 4,6063,3.651982143
 4,522,3.651176523
 4,6440,3.650660717
 4,735,3.648771115
 4,7132,3.648104768
 4,47465,3.647980174
 4,6662,3.647977371
 4,5291,3.647269419
 4,3424,3.647196699
 4,3246,3.646804136
 4,1611,3.646713594
 4,4754,3.646068933
 4,2730,3.646033739
 4,2318,3.645651586
 4,1594,3.645486739
 4,27741,3.645480735
 4,1178,3.645390562
 4,5690,3.645224747
 4,3504,3.644833835
 4,3468,3.644427155
 4,52952,3.644313104
 4,3038,3.64419462
 4,1260,3.644098846
 4,1273,3.643950585
 4,1300,3.643864178
 4,6552,3.643766322
 4,909,3.643615261
 4,5530,3.643571871
 4,3735,3.643467013
 4,5628,3.643464912
 4,2691,3.643412039
 4,4211,3.643121124
 4,4738,3.643102765
 4,4378,3.643022272
 4,4640,3.642909207
 4,3134,3.642640538
 4,3198,3.642639938
 4,2022,3.642628533
 4,7013,3.642434228
 4,2966,3.642380834
 4,3006,3.64234853
 4,4546,3.642280341
 4,1635,3.642249338
 4,4345,3.642233563
 4,7698,3.642140587
 4,1189,3.642069216
 4,2130,3.642061169
 4,96488,3.642026392
 5,27722,3.96795219
 5,6063,3.896967765
 5,52952,3.882036551
 5,6301,3.86764125
 5,96488,3.864724595
 5,3943,3.859564629
 5,174055,3.8574042
 5,50804,3.841516909
 5,7981,3.837428886
 5,735,3.835285822
 5,1178,3.835260004
 5,6440,3.832196566
 5,6774,3.832116202
 5,77455,3.831996445
 5,85774,3.830348913
 5,7460,3.827508753
 5,47465,3.82630319
 5,1273,3.824279716
 5,26242,3.81781018
 5,46572,3.817352527
 5,522,3.817265309
 5,4437,3.812999644
 5,5530,3.810042381
 5,8914,3.808869895
 5,5690,3.808528807
 5,6662,3.806527705
 5,7587,3.805504316
 5,7115,3.803580046
 5,5646,3.802784502
 5,1209,3.802518086
 5,3521,3.80165944
 5,3424,3.801163858
 5,3246,3.798337682
 5,6001,3.796978494
 5,3425,3.795185777
 5,163645,3.793681625
 5,3925,3.791460113
 5,7132,3.791008681
 5,4640,3.790988955
 5,5915,3.789353069
 5,4450,3.788692052
 5,7419,3.788411158
 5,4902,3.787544192
 5,4020,3.78736653
 5,965,3.787312429
 5,5628,3.787083095
 5,5291,3.786883282
 5,4378,3.786352122
 5,6867,3.786319032
 5,3553,3.78627559
 6,4239,3.600407263
 6,6711,3.599733028
 6,5669,3.599322804
 6,3000,3.598931735
 6,4720,3.598797485
 6,4979,3.596811837
 6,30707,3.595781866
 6,7147,3.595173778
 6,5618,3.593292543
 6,44195,3.593285009
 6,6870,3.593082825
 6,8464,3.592672623
 6,4023,3.592533817
 6,2291,3.592310333
 6,46578,3.592109247
 6,30812,3.591702255
 6,41997,3.591293417
 6,3751,3.591034956
 6,7090,3.590701444
 6,1682,3.5900176
 6,8784,3.589866602
 6,3897,3.589468849
 6,47610,3.589155227
 6,5971,3.588613694
 6,40819,3.588574849
 6,46976,3.588432479
 6,46723,3.587972425
 6,3408,3.587640913
 6,4027,3.587013932
 6,30793,3.586789755
 6,33166,3.586774238
 6,3967,3.586641074
 6,2340,3.586431089
 6,39183,3.586235913
 6,4022,3.585557419
 6,44199,3.585134989
 6,5995,3.585122296
 6,5810,3.585117095
 6,3911,3.584576106
 6,4014,3.584204833
 6,5816,3.583727175
 6,30749,3.583719706
 6,26662,3.583657921
 6,37729,3.583627795
 6,4896,3.583585561
 6,4995,3.583245117
 6,4310,3.583199973
 6,31658,3.583100962
 6,4963,3.583042114
 6,4246,3.582883547
 7,6460,3.449108236
 7,6461,3.447946559
 7,678,3.44781377
 7,1238,3.446279825
 7,4021,3.445810162
 7,1964,3.443459434
 7,2747,3.443116199
 7,2917,3.441874853
 7,3204,3.441046915
 7,523,3.440010626
 7,2346,3.439406713
 7,3445,3.437910308
 7,7123,3.437576744
 7,1295,3.435548201
 7,3576,3.435316559
 7,85,3.435227709
 7,2349,3.434698527
 7,1392,3.433817771
 7,1132,3.433103175
 7,3813,3.43290431
 7,4178,3.43280385
 7,3062,3.432758762
 7,2956,3.432608908
 7,456,3.432093287
 7,4406,3.431973973
 7,942,3.431707876
 7,3221,3.431291751
 7,3529,3.431046638
 7,1131,3.43019935
 7,2648,3.429932385
 7,1056,3.429645067
 7,1346,3.429639125
 7,1648,3.429178639
 7,2988,3.428553672
 7,1395,3.428137419
 7,4605,3.425979954
 7,1150,3.425624272
 7,2731,3.424635473
 7,3068,3.424522878
 7,2024,3.424244211
 7,3741,3.424119284
 7,3091,3.42410888
 7,1924,3.423920588
 7,1480,3.422906798
 7,1192,3.422547347
 7,3732,3.422512471
 7,3685,3.422447362
 7,334,3.422446525
 7,541,3.422335486
 7,2344,3.422114053
 8,3943,3.837684266
 8,7587,3.819173056
 8,7460,3.812748986
 8,61236,3.804343654
 8,8838,3.799600888
 8,4794,3.7981869
 8,7419,3.785901351
 8,6214,3.782379073
 8,714,3.778363424
 8,7115,3.77722718
 8,6001,3.775841998
 8,32898,3.775668246
 8,58425,3.775230581
 8,1273,3.772655455
 8,55280,3.771928603
 8,27722,3.770774782
 8,2925,3.769579187
 8,60766,3.767276853
 8,3925,3.765112756
 8,1232,3.764220127
 8,1209,3.763402751
 8,1279,3.758376443
 8,1202,3.757618637
 8,7206,3.75713396
 8,49932,3.756620944
 8,26578,3.755689497
 8,97,3.754235246
 8,64993,3.752779786
 8,2810,3.752397182
 8,3415,3.748382796
 8,56782,3.744348049
 8,1289,3.743988133
 8,3553,3.74331231
 8,7063,3.743006891
 8,7209,3.742291689
 8,123,3.741589088
 8,27563,3.74071328
 8,4437,3.740325744
 8,27773,3.739307599
